Key,Source,Module,Field,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
Item_9588_Name,d道具_Item_A.csv,Item,Name,畸体回噬,Aberrant Devour,,,,,,Abnormales Verschlingen,,,,
Item_9644_Name,d道具_Item_A.csv,Item,Name,神王的颂歌,Hymn of the Sovereign,,,,,,Hymne des Herrschers,,,,
Item_9734_Name,d道具_Item_A.csv,Item,Name,跨越疼痛,Grace Through Pain,,,,,,Gnade durch Schmerz,,,,
Item_54115_Name,d道具_Item_A.csv,Item,Name,沉入殷红,Drowning in Crimson,,,,,,Ertrinken in Blutrot,,,,
Item_54113_Name,d道具_Item_A.csv,Item,Name,坠入虚无的人偶,Manikin of Oblivion,,,,,,Puppe der Vergessenheit,,,,
Item_9630_Name,d道具_Item_A.csv,Item,Name,于暴雨之中,Amidst the Downpour,,,,,,Inmitten des Regensturms,,,,
Item_9877_Name,d道具_Item_A.csv,Item,Name,血肉狂宴,Bloody Feast,,,,,,Blutiges Festmahl,,,,
Item_9845_Name,d道具_Item_A.csv,Item,Name,迷失的道路,Path Forsaken,,,,,,Verlassener Pfad,,,,
Item_48828_Name,d道具_Item_A.csv,Item,Name,极夜与破晓,Dusk and Dawn,,,,,,Dämmerung und Morgengrauen,,,,
Item_54105_Name,d道具_Item_A.csv,Item,Name,隐世的转轮,Wheel Unseen,,,,,,Unsichtbares Rad,,,,
Item_9786_Name,d道具_Item_A.csv,Item,Name,冬夜追忆,Winter's Requiem,,,,,,Requiem des Winters,,,,
Item_61391_Name,d道具_Item_A.csv,Item,Name,纯银的初心,Heart of Silver,,,,,,Silberherz,,,,
Item_9570_Name,d道具_Item_A.csv,Item,Name,诗笺的句尾,The Last Verse,,,,,,Der letzte Vers,,,,
Item_9577_Name,d道具_Item_A.csv,Item,Name,至为珍贵的藏品,Treasured Rarity,,,,,,Kostbare Sammlung,,,,
Item_9884_Name,d道具_Item_A.csv,Item,Name,以蔷薇之名,By Rose Alone,,,,,,Im Namen der Rose,,,,
Item_9667_Name,d道具_Item_A.csv,Item,Name,吞噬摇篮曲,Lullaby Devoured,,,,,,Verschlungenes Wiegenlied,,,,
Item_10069_Name,d道具_Item_A.csv,Item,Name,神言石板,Tablet of Scriptures,,,,,,Schrifttafel,,,,
Item_9530_Name,d道具_Item_A.csv,Item,Name,引舵之帆,Sail of Providence,,,,,,Segel der Vorhersehung,,,,
Item_9947_Name,d道具_Item_A.csv,Item,Name,无法完成的演算,Incalculable Factor,,,,,,Unberechenbarer Faktor,,,,
Item_9642_Name,d道具_Item_A.csv,Item,Name,珊瑚女之死,Death of Ms. Coral,,,,,,Frau Corals Tod,,,,
Item_10101_Name,d道具_Item_A.csv,Item,Name,虔诚的伟力,Power of the Pious,,,,,,Macht der Frommen,,,,
Item_9846_Name,d道具_Item_A.csv,Item,Name,挣脱锁链之日,Chains Unbound,,,,,,Fesseln losgekettet,,,,
Item_9873_Name,d道具_Item_A.csv,Item,Name,骑士之心,A Knight's Vow,,,,,,Ein Ritterschwur,,,,
Item_10100_Name,d道具_Item_A.csv,Item,Name,好运时间,Hour of Fortune,,,,,,Stunde des Glücks,,,,
Item_9736_Name,d道具_Item_A.csv,Item,Name,快乐魔法秀,Happy Magic Show,,,,,,Fröhliche Zaubershow,,,,
Item_9704_Name,d道具_Item_A.csv,Item,Name,灵魂诞生,Birth of a Soul,,,,,,Geburt einer Seele,,,,
Item_9625_Name,d道具_Item_A.csv,Item,Name,阿库特之春,Spring in Acushnet,,,,,,Frühling in Acushnet,,,,
Item_9817_Name,d道具_Item_A.csv,Item,Name,溯洄时计,Rewinding Time,,,,,,Zeit zurückdrehen,,,,
Item_9943_Name,d道具_Item_A.csv,Item,Name,欲海浮沉,Drifting in Desire,,,,,,Im Verlangen treiben,,,,
Item_9827_Name,d道具_Item_A.csv,Item,Name,巨人之刃,Blade of the Titan,,,,,,Klinge des Riesen,,,,
Item_9849_Name,d道具_Item_A.csv,Item,Name,超越死亡,Deathless Ascent,,,,,,Unsterblicher Aufstieg,,,,
Item_9581_Name,d道具_Item_A.csv,Item,Name,隐秘的诞生,Shrouded Birth,,,,,,Verborgene Geburt,,,,
