Key,ShortKey,Source,Row,Module,Field,Role,CN,KR
AvgCommunicate_57999_Content_1,abIG,avg通讯器聊天表_AvgCommunicate_A_M.csv,196,AvgCommunicate,Content,艾继丝,守密人…那个，今天下午有空吗？,"수호자님... 그, 혹시 오늘 오후에 시간이 있으신가요?"
AvgCommunicate_57999_Option_2,abIU,avg通讯器聊天表_AvgCommunicate_A_M.csv,197,AvgCommunicate,Option,玩家,有什么事吗，小艾继丝？,"무슨 일이야, 아이기스?"
AvgCommunicate_57999_Content_2,abIJ,avg通讯器聊天表_AvgCommunicate_A_M.csv,197,AvgCommunicate,Content,玩家,下午有训练。有什么事吗，小艾继丝？,"오후에는 훈련이 있어. 무슨 일이야, 아이기스?"
AvgCommunicate_57999_Content_3,abIK,avg通讯器聊天表_AvgCommunicate_A_M.csv,198,AvgCommunicate,Content,艾继丝,艾继丝做了糖果，想在下午的茶会分给大家…,아이기스가 오후 티파티 때 모두에게 나눠줄 사탕을 만들었어요...
AvgCommunicate_57999_Content_4,abIL,avg通讯器聊天表_AvgCommunicate_A_M.csv,199,AvgCommunicate,Content,艾继丝,守密人没空的话，我悄悄给你留一点…,바쁘시면 수호자님 몫은 따로 남겨둘게요...
AvgCommunicate_57999_Option_5,abIX,avg通讯器聊天表_AvgCommunicate_A_M.csv,200,AvgCommunicate,Option,玩家,我会认真品尝的。,잘 먹을게.
AvgCommunicate_57999_Content_5,abIM,avg通讯器聊天表_AvgCommunicate_A_M.csv,200,AvgCommunicate,Content,玩家,谢谢你，小艾继丝，我会认真品尝的。,"고마워, 아이기스. "
AvgCommunicate_57999_Content_6,abIN,avg通讯器聊天表_AvgCommunicate_A_M.csv,201,AvgCommunicate,Content,艾继丝,喂，你这家伙，怎么敢这么对待艾继丝精心准备的礼物！,"야, 너! 아이기스가 정성껏 준비한 선물을 이따위로 대하는 게 어딨어?"
AvgCommunicate_57999_Option_7,abIZ,avg通讯器聊天表_AvgCommunicate_A_M.csv,202,AvgCommunicate,Option,玩家,？,?
AvgCommunicate_57999_Content_7,abIO,avg通讯器聊天表_AvgCommunicate_A_M.csv,202,AvgCommunicate,Content,玩家,？,?
AvgCommunicate_57999_Content_8,abIP,avg通讯器聊天表_AvgCommunicate_A_M.csv,203,AvgCommunicate,Content,艾继丝,听着，下午的差会上钥匙看不到你，我就让布朗把糖果全部偷走！,"잘 들어, 오후 모임 때 안 보이면 브라운을 시켜서 사탕을 전부 가져갈 거야!"
AvgCommunicate_57999_Option_9,abJb,avg通讯器聊天表_AvgCommunicate_A_M.csv,204,AvgCommunicate,Option,玩家,……,......
AvgCommunicate_57999_Content_9,abIQ,avg通讯器聊天表_AvgCommunicate_A_M.csv,204,AvgCommunicate,Content,玩家,……,......
AvgCommunicate_57999_Content_10,abIH,avg通讯器聊天表_AvgCommunicate_A_M.csv,205,AvgCommunicate,Content,艾继丝,守密人、你、你别听她的，艾继丝会保护好你的糖果的…,"수호자 님, 젠킨의 말은 듣지 마세요. 아이기스가 수호자님의 사탕을 지켜 드릴게요..."
AvgCommunicate_57999_Content_11,abII,avg通讯器聊天表_AvgCommunicate_A_M.csv,206,AvgCommunicate,Content,艾继丝,绝对！,반드시!
AvgCommunicate_57992_Content_1,abGc,avg通讯器聊天表_AvgCommunicate_A_M.csv,494,AvgCommunicate,Content,哈姆林,这里的音乐教室堪称简陋。,이곳의 음악실은 상당히 빈약하군요.
AvgCommunicate_57992_Content_2,abGf,avg通讯器聊天表_AvgCommunicate_A_M.csv,495,AvgCommunicate,Content,哈姆林,礼堂也实在是不堪入目。,강당의 상태도 눈뜨고 보기 힘들 정도입니다.
AvgCommunicate_57992_Content_3,abGg,avg通讯器聊天表_AvgCommunicate_A_M.csv,496,AvgCommunicate,Content,哈姆林,还有你们的那些乐器，负责维护的人是谁，难道不知道定期调音吗？,"그리고 이 악기들, 대체 누가 관리하고 있습니까? 악기는 정기적인 조율이 필요하다는 걸 모르나요?"
AvgCommunicate_57992_Option_4,abGs,avg通讯器聊天表_AvgCommunicate_A_M.csv,497,AvgCommunicate,Option,玩家,哈姆林……,하멜른...
AvgCommunicate_57992_Content_4,abGh,avg通讯器聊天表_AvgCommunicate_A_M.csv,497,AvgCommunicate,Content,玩家,哈姆林……,하멜른...
AvgCommunicate_57992_Content_5,abGi,avg通讯器聊天表_AvgCommunicate_A_M.csv,498,AvgCommunicate,Content,哈姆林,难以置信，这就是高等学府的音乐素养吗？简直让人无法接受。,믿기지 않는군요. 고등 교육기관의 음악적 소양이 겨우 이 정도입니까? 도무지 납득할 수 없습니다.
AvgCommunicate_57992_Content_6,abGj,avg通讯器聊天表_AvgCommunicate_A_M.csv,499,AvgCommunicate,Content,哈姆林,从今天开始，这些东西就由我全面接管了。,오늘부터 이 일들은 전부 제가 맡겠습니다.
AvgCommunicate_57992_Content_7,abGk,avg通讯器聊天表_AvgCommunicate_A_M.csv,500,AvgCommunicate,Content,哈姆林,在银霜节之前，我一定要训练出一个合格的乐团。,"은빛서리 축제 전까지, 오케스트라가 제대로 된 실력을 갖추도록 만들어야겠군요."
AvgCommunicate_57992_Option_8,abGw,avg通讯器聊天表_AvgCommunicate_A_M.csv,501,AvgCommunicate,Option,玩家,幸好我不是乐团成员。,내가 오케스트라 단원이 아니라서 정말 다행이네.
AvgCommunicate_57992_Content_8,abGl,avg通讯器聊天表_AvgCommunicate_A_M.csv,501,AvgCommunicate,Content,玩家,幸好我不是乐团成员。,내가 오케스트라 단원이 아니라서 정말 다행이네.
AvgCommunicate_57992_Content_9,abGm,avg通讯器聊天表_AvgCommunicate_A_M.csv,502,AvgCommunicate,Content,哈姆林,你也别想走，指挥家。,"당신도 빠져나갈 생각 마십시오, 지휘자님."
AvgCommunicate_57992_Option_10,abGo,avg通讯器聊天表_AvgCommunicate_A_M.csv,503,AvgCommunicate,Option,玩家,？！,?!
AvgCommunicate_57992_Content_10,abGd,avg通讯器聊天表_AvgCommunicate_A_M.csv,503,AvgCommunicate,Content,玩家,？！,?!
AvgCommunicate_57992_Content_11,abGe,avg通讯器聊天表_AvgCommunicate_A_M.csv,504,AvgCommunicate,Content,玩家,我没有报名啊！,난 신청한 적도 없어!
AvgCommunicate_67012_Content_1,acgS,avg通讯器聊天表_AvgCommunicate_A_M.csv,758,AvgCommunicate,Content,艾继丝,那个，守密人，请问你下次出任务的时候会经过市区吗？,"저, 수호자님. 혹시 다음에 임무를 나갈 때 시내를 지날 일이 있으신가요?"
AvgCommunicate_67012_Option_2,achi,avg通讯器聊天表_AvgCommunicate_A_M.csv,759,AvgCommunicate,Option,玩家,怎么了？,무슨 일인데?
