Key,ShortKey,Source,Row,Module,Field,Role,CN,TH
LanguageConfig_MainInterface_Btn_WeekChallenge_CN,aGQe,d多语言_LanguageConfig_C.csv,319,LanguageConfig,CN,,无光之境,ดินแดนไร้แสง
FeatureUnlock_16970_FeatureName,aCmA,g功能解锁_FeatureUnlock_A.csv,75,FeatureUnlock,FeatureName,,无光之境,ดินแดนไร้แสง
FeatureUnlock_16970_UnlockDesc,aCmC,g功能解锁_FeatureUnlock_A.csv,75,FeatureUnlock,UnlockDesc,,<FeatureUnlockTitle:无光之境已开启>\n\n<FeatureUnlockDesc:在漆黑的视界里寻找真相。\n守密人可派出不同界域的队伍挑战，获取丰厚奖励。>,<FeatureUnlockTitle:ดินแดนไร้แสงได้เปิดแล้ว>\n\n<FeatureUnlockDesc:ค้นหาความจริงในโลกที่มืดมิด\nผู้พิทักษ์ความลับสามารถส่งทีมจากดินแดนต่าง ๆ เพื่อท้าทายและรับรางวัลมากมาย>
FeatureUnlock_16970_LockTip,aCmB,g功能解锁_FeatureUnlock_A.csv,75,FeatureUnlock,LockTip,,完成 「调查行动」2-4·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 2-4: ปกติ"
StageGroup_15902_Name,aRae,g关卡组_StageGroup_A.csv,191,StageGroup,Name,,混沌无光之境Ⅰ,ดินแดนโกลาหลไร้แสง I
StageGroup_15902_Desc,aRad,g关卡组_StageGroup_A.csv,191,StageGroup,Desc,,它们在黑暗中扭曲、融合，然后被小心翼翼地保管在造像里。\n这是一次蓄谋已久的重逢。,พวกมันบิดเบี้ยวและหลอมรวมเข้าหากันในความมืด จากนั้นจึงถูกเก็บรักษาไว้อย่างระมัดระวังภายในรูปปั้น\nนี่คือการพบกันอีกครั้งที่ถูกจัดเตรียมมาอย่างยาวนาน
StageGroup_15902_TypeText,aRag,g关卡组_StageGroup_A.csv,191,StageGroup,TypeText,,无光之境,ดินแดนไร้แสง
StageGroup_15914_Name,aRba,g关卡组_StageGroup_A.csv,192,StageGroup,Name,,混沌无光之境Ⅱ,ดินแดนโกลาหลไร้แสง II
StageGroup_15914_Desc,aRaZ,g关卡组_StageGroup_A.csv,192,StageGroup,Desc,,来历不明的造像在黑暗中游荡、战栗。\n它们踏着古老的节拍，循着来自远方的笛声起舞。,รูปปั้นที่ไม่ทราบแหล่งที่มาเคลื่อนไหวและสั่นระริกในความมืด\nพวกมันก้าวตามจังหวะโบราณ พร้อมเต้นรำตามเสียงขลุ่ยที่มาจากแดนไกล
StageGroup_15914_TypeText,aRbc,g关卡组_StageGroup_A.csv,192,StageGroup,TypeText,,无光之境,ดินแดนไร้แสง
