Key,ShortKey,Source,Row,Module,Field,Character,CN,EN
Event_7101_ChoiceDesc3,azGl,s事件_Event_A.csv,8,Event,ChoiceDesc3,,【驱逐】移除最多 3 张症状卡，获得 Arg2 黑印。,"[Expel] Destroy up to 3 Symptom cards, and receive Arg2 Black Sigils."
Event_57738_ChoiceDesc1,axNL,s事件_Event_A.csv,51,Event,ChoiceDesc1,,【硬闯】所有唤醒体获得 30 点狂气，但将两张「(Skill.Arg1)」塞入卡组,"[Forceful Entry] Increase all Awakeners' Aliemus by 30, but add two ""(Skill.Arg1)"" cards to the deck."
Event_57738_ChoiceDesc3,axNN,s事件_Event_A.csv,51,Event,ChoiceDesc3,,【伏击】消耗所有唤醒体狂气，获得 30 黑印并移除守卫威胁。,[Ambush] All Awakeners lose all Aliemus; receive 30 Black Sigils.
Event_57776_ChoiceDesc2,axOk,s事件_Event_A.csv,56,Event,ChoiceDesc2,,【诈降】探索完该区域后，传送至羁押点，获得 2 张随机「症状」。,"[Feign Surrender] After exploring this area, be transferred to the Detention Point and develop two random Symptoms."
Event_57776_ChoiceDesc3,axOl,s事件_Event_A.csv,56,Event,ChoiceDesc3,,【闯入】探索完该区域后，传送至羁押点，失去 Arg1 点生命。,"[Intrude] After exploring this area, be transferred to the Detention Point and lose Arg1 HP."
Event_57776_Tips3,axOs,s事件_Event_A.csv,56,Event,Tips3,,当前生命不足,You don't have enough HP.
Event_6908_ChoiceDesc1,ayMz,s事件_Event_A.csv,67,Event,ChoiceDesc1,,【解开上方的枝节】,[Unravel the Upper Branch]
Event_6908_ChoiceDesc2,ayMA,s事件_Event_A.csv,67,Event,ChoiceDesc2,,【解开下方的枝节】,[Unravel the Lower Branch]
Event_7353_ChoiceDesc1,aALH,s事件_Event_A.csv,109,Event,ChoiceDesc1,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_7340_ChoiceDesc1,aAIH,s事件_Event_A.csv,110,Event,ChoiceDesc1,,【离开】获得50黑印,[Leave] Receive 50 Black Sigils
Event_7262_ChoiceDesc1,aAqH,s事件_Event_A.csv,114,Event,ChoiceDesc1,,【离开】,[Leave] Receive 25 Black Sigils
Event_7298_ChoiceDesc1,aAyX,s事件_Event_A.csv,115,Event,ChoiceDesc1,,【离开】获得50黑印,[Leave] Receive 50 Black Sigils
Event_59612_ChoiceDesc1,axZX,s事件_Event_A.csv,119,Event,ChoiceDesc1,,【离开】,[Leave] Receive 25 Black Sigils
Event_59632_ChoiceDesc1,ayeD,s事件_Event_A.csv,120,Event,ChoiceDesc1,,【离开】获得50黑印,[Leave] Receive 50 Black Sigils
Event_6914_ChoiceDesc1,ayNT,s事件_Event_A.csv,124,Event,ChoiceDesc1,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_6967_ChoiceDesc1,azaf,s事件_Event_A.csv,125,Event,ChoiceDesc1,,【离开】获得50黑印,[Leave] Receive 50 Black Sigils
Event_74169_ChoiceDesc1,aBgj,s事件_Event_A.csv,127,Event,ChoiceDesc1,,【保持距离】获得25黑印,[Maintain Distance] Receive 25 Black Sigils
Event_7390_ChoiceDesc1,aAUj,s事件_Event_A.csv,130,Event,ChoiceDesc1,,【原地不动】获得25黑印,[Stand Still] Receive 25 Black Sigils
Event_6943_ChoiceDesc1,ayUD,s事件_Event_A.csv,133,Event,ChoiceDesc1,,【转身】获得25黑印,[Turn Around] Receive 25 Black Sigils
Event_7381_ChoiceDesc1,aASf,s事件_Event_A.csv,136,Event,ChoiceDesc1,,【转身】获得25黑印,[Turn Around] Receive 25 Black Sigils
Event_6921_ChoiceDesc1,ayPz,s事件_Event_A.csv,139,Event,ChoiceDesc1,,【低头看】获得25黑印,[Lower Gaze] Receive 25 Black Sigils
Event_59583_ChoiceDesc1,axTn,s事件_Event_A.csv,142,Event,ChoiceDesc1,,【说服】获得25黑印,[Persuade] Receive 25 Black Sigils
Event_7338_ChoiceDesc1,aAIj,s事件_Event_A.csv,145,Event,ChoiceDesc1,,【俯瞰倒影】获得25黑印,[Overlook Reflection] Receive 25 Black Sigils
Event_35903_ChoiceDesc1,awEf,s事件_Event_A.csv,148,Event,ChoiceDesc1,,【触碰银光】获得25黑印,[Touch the Silver Light] Receive 25 Black Sigils
Event_50293_ChoiceDesc1,axEX,s事件_Event_A.csv,151,Event,ChoiceDesc1,,【安心】获得25黑印,[Calm] Receive 25 Black Sigils
