Key,ShortKey,Source,Row,Module,Field,Role,CN,EN
AwakerStory_11222_Content,atEX,h唤醒体故事_AwakerStory_A.csv,69,AwakerStory,Content,希莱斯特,她的缥缈的身影叫人想起振翅欲飞的鸥鸟，白裙被猎猎海风扬起的时候，观者总能描绘出一副飞向乌托邦的飞鸟之图。\n不知道那端坐于桅杆横木之上的少女，是否也曾想象过自己的遨游之姿呢？,"Her ethereal beauty is always reminiscent of the bird of heaven, spreading its glossy wings towards utopia as her white dress flutters with caressing breezes.\nHowever, does the girl who perches on the mast ever imagine herself flying in the azure sky?"
AwakerStory_11172_Content,atBf,h唤醒体故事_AwakerStory_A.csv,199,AwakerStory,Content,菲茵特,菲茵特是一粒褪色的、难以破壳的种子。\n人们因她的残缺而怜悯她，因她的虚弱而爱怜她。\n知道她是自愿留在壳中之人，已然化作齑粉，成为星之尘埃。,"Faint is a faded, hard-to-hatch seed.\nPeople pity her for her flaws and love her for her weaknesses.\nKnowing this, she chose to remain in the shell, now turned to dust—stardust."
AwakerStory_11330_Content,atNn,h唤醒体故事_AwakerStory_A.csv,202,AwakerStory,Content,菲茵特,这对姐妹中，有一人是不该出生的存在。\n在无法被观测的天琴座荒星上，菲茵特与汀克特在恶言中度过了半生。\n但究竟谁是那个不被承认的存在呢？\n姐姐菲茵特强大却无法自控，所掠取的生命力总像河流般逝去，只能靠舔舐残留的露珠勉强度日。\n妹妹汀克特美丽却难于自立，如浮萍般倔强却无处扎根的生命，只得围绕着姐姐回旋。\n也许，她们彼此都认为自己是不该存在的那人，只是菲茵特更早做出了决断——以自我了断做威胁，她将妹妹强行推上了离开的旅程。\n「离开吧，汀克特。不要让我绊住你。」\n「你要在星间歌唱，成为最受瞩目的色彩。」,"Among these sisters, one of them should never have been born.\nOn the unobservable Lyra desolate star, Faint and Tinct spent half their lives exchanging bitter words.\nBut who is the unacknowledged one?\nSister Faint is powerful yet uncontrollable; the life force she seizes seems to flow away like a river, leaving her only able to barely survive by licking the remaining dewdrops.\nSister Tinct is beautiful yet struggles to be independent; her life is as stubborn as a floating weed, yet rooted nowhere, causing her to revolve around her sister.\nPerhaps they both believe they are the one who should not exist. It's just that Faint made her decision earlier — threatening self-termination, she forced her sister onto the journey of departure.\n""Leave, Tinct. Don't let me hold you back.""\n""You shall sing among the stars, becoming the most eye-catching color."""
AwakerStory_11336_Content,atNL,h唤醒体故事_AwakerStory_A.csv,99,AwakerStory,Content,法洛思,必须留心，她那冷静、知性的话语具有着令人失神的魅力。不要好奇异形的头颅之下是否有另一副容貌，只需了解她对于这副类人的身体抱有长久的不满。\n她的灯火曾诱引着飞蛾，也曾将迷途者置于死地，而如今那其中似乎正透露出迷途者的茫然。,"Beware: a siren’s mesmerizing charm lurks under her seemingly calm and rational words. Never show curiosity towards the unique appearance beneath her malformed helmet; never forget her long-lasting dissatisfaction with this humanoid body.\nHer gleaming light once lured moths to its molten warmth. Her burning fire once guided the lost to their doom. Now, only confusion flickers in her lighthouse."
AwakerStory_11236_Content,atGb,h唤醒体故事_AwakerStory_A.csv,74,AwakerStory,Content,戈利亚,他是名副其实的巨人。强健的肉体，昭示着他那令人畏怖的力量。他使用着一柄无人能够举起的巨刃，战争与血祭的滋养，令它的表面如同饱涂油脂的皮毛那般光亮。巨刃的獠牙曾斩下过无数敌人、同族的头颅，亦斩下过他自己的。,"He is but a giant. His silhouette aweing, his power indestructible. His weapon a colossal blade that no one else can lift. His victories, gleaming like oiled fur on the blade’s fang, nourished by countless wars and savage sacrifices. His prize, a mountain of heads severed from his enemies and kin, crowned only by his own head on top."
AwakerStory_11372_Content,atQz,h唤醒体故事_AwakerStory_A.csv,58,AwakerStory,Content,莉莉,渴盼着名为「母亲」之物，服从「主人」命令的少女。\n世界遗忘了她的名字，于是那在巨型黑色淤泥眼球中，如百合花般绽放的脆弱白色纤影，被后来者仓促命名为「Lily」。,"Yearning for an entity she calls ""Mommy"", this girl obediently follows the commands of her ""Master"".\nHer true name lost to the world, she is now known only by the form she inhabits: a delicate white filament, reminiscent of a lily, blooming at the center of a giant black eyeball made of sludge. Hence, they named her Lily."
AwakerStory_11289_Content,atKf,h唤醒体故事_AwakerStory_A.csv,13,AwakerStory,Content,萝坦,萝坦身上贴了太多太多标签，没人知道该用怎样的态度来与这名黑衣剑士相处。\n太过谦卑，她会以无趣之名敲碎你的膝盖；太过傲慢，她会用巨剑斩断你的无礼；太过强硬，她会用战斗软化你的灵魂。\n但也许，这正是星球初生之子的傲慢：作为曾经的守护者，她理应享有傲慢的权利。,"Lotan has so many labels attached to her that no one knows how to approach this black-clad swordswoman.\nToo humble and she will shatter your knees for being too boring; too arrogant and she will slash your insolence with her greatsword; too tough and she will soften your soul through battle.\nBut perhaps this is the arrogance of the planet’s first-born. As a former guardian, she deserves her pride."
AwakerStory_11364_Content,atPT,h唤醒体故事_AwakerStory_A.csv,84,AwakerStory,Content,墨菲,高傲、任性、自我中心……许多与她接触过的人，都会对她的个性留下如此评价。她在以往生活的环境中，似乎一直受到众星捧月般的照顾，也许正是这些曾经的无微不至养成了她骄纵的性格。\n「喂！你在看什么东西？不是说过了吗，叫你三声之内就必须回应本小姐！」\n——阅读档案的时候也得十分注意。,"Proud, willful, self-centered... Many who have interacted with her would describe her personality as such. She seems to have always been treated like the center of the universe in her last living arrangement; perhaps it was this meticulous care that cultivated her spoiled nature.\n“Hey! What are you looking at? Didn’t I say that if I call you three times, you have to respond to this young lady?!”\n—One must be very careful, even when reading the documents."
AwakerConfig_15604_AwakerIntroduction,asHF,h唤醒体_AwakerConfig_A.csv,41,AwakerConfig,AwakerIntroduction,,·狂气爆发和技能都具有随机性，运气越好收益越高。\n·灵知觉醒可获得或选择升级「混沌的遗赠」。\n·在本次关卡中，将携带等级 50 级，技能等级5，启灵3 的莱克和萝坦出战，初始莱克拥有 25% 暴击率加成、所有的「混沌的遗赠」造物与额外一套卡牌，敌人第一回合获得临时强化。,"Ryker's Exalt and Skills yield randomized results; the better your luck, the greater the rewards.\nRouse grants or allows selection of upgrades for ""Chaotic Legacy"".\nIn this stage, Ryker and Lotan will be deployed at Level 50, Skill Level 5, Enlighten Level 3. Ryker initially has a 25% Crit. Rate boost, all ""Chaotic Legacy"" Relics, and an additional set of Cards. The enemy receives Temporary STRengthening in the first round."
AwakerStory_11249_Content,atHb,h唤醒体故事_AwakerStory_A.csv,28,AwakerStory,Content,莱克,莱克被他的警探好友称为「好运侦探」。\n顾名思义，他是个好运的人：只要下注，就能赢回十倍本金；只要靠蒙，就能选对答案。\n好运侦探不是非得当侦探，只是误打误撞侦破了多起疑案，就被人簇拥着走上了这条道路。\n他破案不靠推理，靠运气。只要在案发现场巡视一周，就能撞上犯人；只要走在路上，就会捡到关键证据。\n在这样的好运中，他度过了顺风顺水的二十五年。\n从来不为昨日烦恼，从来不为明日发愁。,"Ryker is known as the ""Lucky Detective"" by his detective friends.\nAs the name suggests, he is a lucky person: whenever he places a bet, he wins ten times the stake; whenever he guesses, he chooses the right answer.\nThe ""Lucky Detective"" doesn’t have to be an actual detective; he‘s solved many cases by chance alone, so he was embraced on this path.\nHe doesn’t solve cases by deduction, relying on luck instead. Just a tour around the crime scene and he stumbles upon the culprit; just walking along the road, he picks up key evidence.\nWith such good fortune, he's lived out a smooth twenty-five years.\nHe never worries about yesterday, nor frets about tomorrow."
AwakerStory_11284_Content,atJL,h唤醒体故事_AwakerStory_A.csv,64,AwakerStory,Content,珊,来自西岱的艺术家并不在意人类，她只追求某种绝对意义上的纯粹之美，将转瞬即逝的刹那铭刻为永恒。\n灵感之泉奔涌而出，刻刀从未停歇。每完成一个作品，珊瑚色的阴霾便蚕食躯体一分，痛苦与喜悦并生，而雕砌者亦不在意自己。,"The artist from Cité cares not for other people. She only pursues the absolute form of pure beauty, etching ephemeral moments into eternity. \n As her inspiration surges forth, her chisel never ceases; as her works witness completion, her body is submerged in coral-colored shades. In the corner of her workshop which she pays no heed, her agony and delight intertwine, sprouting from her very existence."
AvgDialog_95476_Content_8,bzNl,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,15,AvgDialog,Content,,如果你的记忆没有被人动过手脚，三十分钟前你应该还在自己小巧精致的书桌前，处理光怪陆离的报告。,"If your memory hasn't been tampered with, you should still be at your delicate little desk, dealing with bizarre reports as you were thirty minutes ago."
AvgDialog_95476_Content_37,bzMq,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,44,AvgDialog,Content,,虽然这里完全比不上你房间中松软的大床，但温暖的床铺还是可以让你舒服地瘫在上面。,"Although it can't compare to the big, soft bed in your room, the warm bedding still allows you to comfortably sprawl out."
AvgDialog_95476_Content_62,bzMS,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,69,AvgDialog,Content,玩家,提灯……教会？我们今天的目标就是他们么？,Church of the Lightbearers...? Are they our target?
AvgDialog_95476_Content_64,bzMU,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,71,AvgDialog,Content,玩家,没，只是感觉有些阴森森的……而且大姐，这次行动会不会太顺利了。,"No, it just feels a bit eerie... and Kath, isn't this operation going too smoothly?"
AvgDialog_95476_Content_86,bzNs,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,93,AvgDialog,Content,凯蒂古拉_人类,虽然我已经失言了……,I misspoke there...
AvgDialog_95476_Content_89,bzNv,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,96,AvgDialog,Content,,现场气氛突然变得有些凝重，失去同伴的悲伤感在你心底弥漫。,The atmosphere in the tent suddenly became tense; the sorrow of losing companions spread in your heart.
