ActorAttrType_18139_AttributeDesc,abog,h唤醒体属性类型_ActorAttrType_A.csv,21,ActorAttrType,AttributeDesc,,每消耗 1 算力获得 {s1} 点银钥能量。随着该属性增加，额外提高的银钥能量会逐渐衰减。,行動力を1点消費するたびに、{s1}キーエネルギーを獲得。この能力値が高くなるほど、追加ボーナスの増加効率は低下する。
AvgCommunicate_84107_Content_1,brOB,avg通讯器聊天表_AvgCommunicate_A_M.csv,517,AvgCommunicate,Content,克珀珊特,这次假期什么时候结束？,この休暇は、いつ終わるのでしょうか？
AvgCommunicate_84107_Option_2,brOV,avg通讯器聊天表_AvgCommunicate_A_M.csv,518,AvgCommunicate,Option,玩家,……假期不是才刚开始吗？,……まだ始まったばかりなのでは？
AvgCommunicate_84107_Content_2,brOH,avg通讯器聊天表_AvgCommunicate_A_M.csv,518,AvgCommunicate,Content,玩家,……假期不是才刚开始吗？,……休暇は、まだ始まったばかりなのでは？
AvgCommunicate_84107_Content_4,brOJ,avg通讯器聊天表_AvgCommunicate_A_M.csv,520,AvgCommunicate,Content,克珀珊特,我只是在为之后做准备。,その後に向けて、準備を行っているのです。
AvgCommunicate_84107_Content_5,brOK,avg通讯器聊天表_AvgCommunicate_A_M.csv,521,AvgCommunicate,Content,克珀珊特,学院地图已经更新，时钟已经校准，旗帜和旗杆也整理干净。,大学の地図は既に更新し、時計も調整済み。\n旗と旗竿もきれいに手入れを行いました。
AvgCommunicate_84107_Content_6,brOL,avg通讯器聊天表_AvgCommunicate_A_M.csv,522,AvgCommunicate,Content,克珀珊特,之后的每天，我也会持续维护，保证能够随时开工。,これからも毎日、継続して整備を行い、いつでも作業を始められるよう備えておきます。
AvgCommunicate_84107_Option_7,brPa,avg通讯器聊天表_AvgCommunicate_A_M.csv,523,AvgCommunicate,Option,玩家,只是指挥学院午饭时的交通……,ただ交通整理をするだけなのに……
AvgCommunicate_84107_Content_7,brOM,avg通讯器聊天表_AvgCommunicate_A_M.csv,523,AvgCommunicate,Content,玩家,……只是指挥学院午饭时的交通，也需要做这么多的准备吗？,……大学の昼食時間、ただ交通整理をするだけなのに、ここまで準備する必要があるの？
AvgCommunicate_84107_Content_8,brON,avg通讯器聊天表_AvgCommunicate_A_M.csv,524,AvgCommunicate,Content,克珀珊特,当然。哪个食堂最受欢迎，哪个学院学生最多，哪些学生想要优先前往食堂，都会影响整个路线的规划。,もちろんです。どの食堂が最も人気か、どの学部の学生が多いのか、どの学生が優先して食堂に行きたがっているか——それらすべてが、全体のルート計画に影響するのです。
AvgCommunicate_84107_Content_9,brOO,avg通讯器聊天表_AvgCommunicate_A_M.csv,525,AvgCommunicate,Content,克珀珊特,还有哪片花坛被新来的流浪猫当成了家园，哪片区域又被学生们踩出了新路，哪条道路需要施工维护……,さらに、新しく来た野良猫が住み着いた花壇はどこか、学生たちが踏み固めてできた新しい道はどの場所か、工事や補修が必要な道路はどれか……
AvgCommunicate_84107_Content_10,brOC,avg通讯器聊天表_AvgCommunicate_A_M.csv,526,AvgCommunicate,Content,克珀珊特,这些因素加在一起，权衡利弊，才能规划出最高效、合理的路线。,これらの要素を加味し、利害を天秤にかけて初めて、最も効率的かつ合理的なルートを導き出せるのです。
AvgCommunicate_84107_Option_11,brOR,avg通讯器聊天表_AvgCommunicate_A_M.csv,527,AvgCommunicate,Option,玩家,……受教了。,……勉強になるよ。
AvgCommunicate_84107_Content_11,brOD,avg通讯器聊天表_AvgCommunicate_A_M.csv,527,AvgCommunicate,Content,玩家,……受教了。看来每份工作都有其意义。,……勉強になるよ。どんな仕事にも意味があるんだね。
AvgCommunicate_84107_Content_12,brOE,avg通讯器聊天表_AvgCommunicate_A_M.csv,528,AvgCommunicate,Content,克珀珊特,是的，既然我做出选择，就要承担起自己的职责。,はい。自分で選んだ以上、その責務を全うしなければなりません。
