Key,ShortKey,Source,Row,Module,Field,Role,CN,TH
LanguageConfig_MainInterface_Btn_BOSS_CN,aGPZ,d多语言_LanguageConfig_C.csv,322,LanguageConfig,CN,,超验存在,สิ่งดำรงอยู่เหนือการรับรู้
LanguageConfig_WeeklyBossInstructions_CN,aHpd,d多语言_LanguageConfig_C.csv,1351,LanguageConfig,CN,,\n<Title:奖励次数>\n·每周一9点(GMT+8)奖励次数重置，通关任意「超验存在」的关卡后将消耗1次奖励次数获得任务报酬奖励。\n·未使用的奖励次数将不会继承到下一周。\n\n<Title:重现>\n·首次完成「超验存在」关卡挑战后将解锁重现，重现将消耗1次奖励次数并直接获得任务报酬奖励。\n·若三星通关高难度关卡，则较低难度的关卡挑战进度会自动标记为三星通关。,"\n<Title:จำนวนครั้งในการรับรางวัล>\n·จำนวนครั้งในการรับรางวัลจะรีเซ็ตทุกวันจันทร์ เวลา 9:00 น. (GMT+8) หลังจากผ่านด่าน ""สิ่งดำรงอยู่เหนือการรับรู้"" ใดๆ ได้สำเร็จ จะใช้จำนวนครั้งในการรับรางวัล 1 ครั้ง เพื่อรับรางวัลค่าตอบแทนภารกิจ\nจำนวนครั้งในการรับรางวัลที่ไม่ได้ใช้ จะไม่ถูกยกยอดไปยังสัปดาห์ถัดไป\n\n<Title:การลงด่วน>\n·การลงด่วนจะปลดล็อกหลังจากผ่านด่าน ""สิ่งดำรงอยู่เหนือการรับรู้"" เป็นครั้งแรก การลงด่วนจะใช้สิทธิ์ในการรับรางวัล 1 ครั้ง และจะมอบรางวัลภารกิจให้ทันที \nหากผ่านด่านที่มีความยากระดับสูงด้วยคะแนนสามดาว ด่านที่มีระดับความยากต่ำกว่าจะถูกบันทึกผลคะแนนให้เป็นสามดาวให้โดยอัตโนมัติ"
LanguageConfig_WeeklyBossTitle_CN,aHpe,d多语言_LanguageConfig_C.csv,1352,LanguageConfig,CN,,规则说明,กฎกติกา
LanguageConfig_WeeklyBoss_LvLimit_CN,aHpf,d多语言_LanguageConfig_C.csv,1353,LanguageConfig,CN,,调查等级达到{s1}解锁,ปลดล็อคเมื่อเลเวลการสืบสวนถึง {s1}
FeatureUnlock_21452_FeatureName,aCtC,g功能解锁_FeatureUnlock_A.csv,96,FeatureUnlock,FeatureName,,超验存在,สิ่งดำรงอยู่เหนือการรับรู้
FeatureUnlock_21452_UnlockDesc,aCtE,g功能解锁_FeatureUnlock_A.csv,96,FeatureUnlock,UnlockDesc,,<FeatureUnlockTitle:超验存在已开启>\n\n<FeatureUnlockDesc:祂们是无视一切规则与因果的禁忌存在。\n消耗灵啡肽进行挑战，可以获得更珍稀的唤醒体技能升级材料。>,<FeatureUnlockTitle:สิ่งที่ดำรงอยู่เหนือการรับรู้ได้เปิดแล้ว>\n\n<FeatureUnlockDesc:พวกมันคือสิ่งมีชีวิตต้องห้ามที่เพิกเฉยต่อกฎเกณฑ์และเหตุผลทั้งมวล\nใช้เมโนฟินเพื่อท้าทายพวกมันเพื่อรับวัสดุอัปเกรดสกิลที่หายากของผู้ปลุกตื่น>
FeatureUnlock_21452_LockTip,aCtD,g功能解锁_FeatureUnlock_A.csv,96,FeatureUnlock,LockTip,,完成 「调查行动」3-10·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 3-10: ปกติ"
,,,—,,,,,
FeatureUnlock_17072_FeatureName,aCsu,g功能解锁_FeatureUnlock_A.csv,97,FeatureUnlock,FeatureName,,玩偶之泪,น้ำตาของตุ๊กตา
FeatureUnlock_17072_LockTip,aCsv,g功能解锁_FeatureUnlock_A.csv,97,FeatureUnlock,LockTip,,完成 「调查行动」3-10·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 3-10: ปกติ"
StageGroup_15945_Name,aRdu,g关卡组_StageGroup_A.csv,54,StageGroup,Name,,玩偶之泪,น้ำตาของตุ๊กตา
StageGroup_15945_Desc,aRdt,g关卡组_StageGroup_A.csv,54,StageGroup,Desc,,它以乖巧的姿态靠在床沿，暗淡的纽扣眼睛望着虚空。\n小小的身躯承受了主人的全部眼泪，却无法出言安慰。,มันเอนตัวพิงขอบเตียงด้วยท่าทางอ่อนโยน ดวงตากระดุมหมองมัวจ้องมองความว่างเปล่า\nร่างเล็กๆ ของมันรองรับน้ำตาทั้งหมดของเจ้าของไว้ แต่กลับไม่สามารถเอ่ยคำปลอบโยนออกมาได้เลย
StageGroup_15945_TypeText,aRdw,g关卡组_StageGroup_A.csv,54,StageGroup,TypeText,,玩偶之泪,น้ำตาของตุ๊กตา
StageGroup_15945_StageGroupRewardDescription,aRdv,g关卡组_StageGroup_A.csv,54,StageGroup,StageGroupRewardDescription,,<Black:高阶技能素材>,<Black:วัสดุอัปเกรดสกิลขั้นสูง>
Stage_7727_Name,aUUg,g关卡_Stage_A.csv,547,Stage,Name,,玩偶之泪Ⅰ,น้ำตาของตุ๊กตา I
Stage_7727_Desc,aUUf,g关卡_Stage_A.csv,547,Stage,Desc,,它以乖巧的姿态靠在床沿，暗淡的纽扣眼睛望着虚空。\n小小的身躯承受了主人的全部眼泪，却无法出言安慰。,มันเอนตัวพิงขอบเตียงด้วยท่าทางอ่อนโยน ดวงตากระดุมหมองมัวจ้องมองความว่างเปล่า\nร่างเล็กๆ ของมันรองรับน้ำตาทั้งหมดของเจ้าของไว้ แต่กลับไม่สามารถเอ่ยคำปลอบโยนออกมาได้เลย
Stage_7949_Name,aViO,g关卡_Stage_A.csv,548,Stage,Name,,玩偶之泪Ⅱ,น้ำตาของตุ๊กตา II
